nom,Énergie_kcal_100g,Lipides_g_100g,AG_saturés_g_100g,Acide_oléique_W9_g_100g,Acide_linoléique_W6_LA_g_100g,Acide_alpha-linolénique_W3_ALA_g_100g,EPA_g_100g,DHA_g_100g,Cholestérol_mg_100g,Glucides_g_100g,Sucres_g_100g,Fibres_g_100g,Protéines_g_100g,Sel_g_100g,Calcium_mg_100g,Cuivre_mg_100g,Fer_mg_100g,Iode_µg_100g,Magnésium_mg_100g,Manganèse_mg_100g,Phosphore_mg_100g,Potassium_mg_100g,Sélénium_µg_100g,Sodium_mg_100g,Zinc_mg_100g,Rétinol_µg_100g,Beta-Carotène_µg_100g,Vitamine_D_µg_100g,Vitamine_E_mg_100g,Vitamine_K1_µg_100g,Vitamine_K2_µg_100g,Vitamine_C_mg_100g,Vitamine_B1_mg_100g,Vitamine_B2_mg_100g,Vitamine_B3_mg_100g,Vitamine_B5_mg_100g,Vitamine_B6_mg_100g,Vitamine_B9_µg_100g,Vitamine_B12_µg_100g
Amande (avec peau),576,"51,3","4,11","33,3","10,5","0,01","0,01","0,01",0,"9,51","4,2","12,5","18,8","0,013",260,"0,96","3,4",20,270,"1,9",510,800,20,5,"3,5",0,"7,33","0,25","22,3","0,8",0,"0,5","0,15","0,29","1,97","0,62","0,07",120,0
"Amande, grillée, salée","604,38","53,9","4,09","32,7","12,9","0,006",0,0,0,"8,72","4,86","10,9","21,1","1,25",268,"1,1","3,73",0,279,"2,23",471,713,0,498,"3,31",0,1,0,"23,9",0,0,0,"0,077","1,2","3,64","0,32","0,14",55,0
"Amande, mondée, émondée ou blanchie","593,14","52,5","3,95",0,0,0,0,0,0,"8,76","4,63","9,9","21,4","0,048",236,"1,03","3,28",0,268,"1,84",481,659,0,19,"2,97",0,4,0,"23,8",0,0,0,"0,19","0,71","3,5","0,31","0,12",49,0
"Amarante, crue",369,"7,02","1,46","1,43","2,74","0,041",0,0,0,"58,6","1,68","6,7","13,5","0,01",159,"0,53","7,61",0,248,"3,33",557,508,0,4,"2,87",0,1,0,"1,19",0,0,"4,2","0,12","0,2","0,92","1,46","0,59",82,0
Amidon de maïs ou fécule de maïs,362,"0,25","0,009",0,0,0,0,0,0,"89,2",0,"0,8","0,43","0,019",6,"0,05","0,38","0,6","3,5","0,53",56,4,"2,8","10,2","0,28",0,0,0,0,0,0,0,0,"0,008","0,03",0,"0,005",1,0
Amidon de riz,343,0,0,0,0,0,0,0,0,85,0,0,"0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ananas au jus d'ananas, appertisé, non égoutté","60,9","0,5",0,0,0,0,0,0,0,"13,6","12,6","0,92","0,5","0,00049","10,3","0,033","0,19",20,"11,7","1,13","7,14",127,20,"0,2","0,11",0,"15,9",0,0,"0,8",0,"4,98","0,063","0,01","1,44","0,061","0,064","12,9",0
"Ananas au jus d'ananas, égoutté, appertisé","60,9","0,5",0,0,0,0,0,0,0,"13,6","12,8","1,4","0,5",0,11,"0,04","0,19",20,12,"1,2","7,8",130,20,1,"0,11",0,"24,2",0,0,"0,8",0,"4,99","0,063","0,01","2,2","0,067","0,076","13,5",0
"Ananas au sirop léger, appertisé, égoutté","70,1","0,5",0,0,0,0,0,0,0,"15,9","15,9","1,6","0,5","0,0048","6,4","0,04","0,13",20,11,"1,2","4,8",95,20,"1,9","0,05",0,"19,7",0,0,"0,8",0,"5,22","0,034","0,01","0,1","0,04","0,046","11,9",0
"Ananas au sirop léger, appertisé, non égoutté","66,702","0,078","0,009",0,0,0,0,0,0,16,"15,7","1,01","0,5","0,0047","5,77","0,033","0,12",20,"11,4","1,16","4,06",101,20,"1,86","0,031",0,"12,4",0,"0,01","0,8",0,"5,11","0,037","0,01","0,1","0,03","0,029","11,8",0
